Episode,Reward
945,1
946,-1
947,-1
948,0.25
949,-1
950,-1
951,-1
952,0.33333333333333326
953,-1
954,0.5
955,-1
956,1.0
957,-1
958,1
959,-1
960,-1
961,-1
962,-1
963,-1
964,-1
965,3.0
966,0.10000000000000009
967,-1
968,-1
969,2.666666666666667
970,-1
971,0.19999999999999996
972,-1
973,3.333333333333333
974,3.25
975,3.2
976,2.75
977,4.0
978,1
979,3.2
980,-1
981,-1
982,3.25
983,3.333333333333333
984,-1
985,-1
986,0.33333333333333326
987,-1
988,-1
989,-1
990,-1
991,1.0
992,0.25
993,-1
994,2.3095238095238093
995,-1
996,-1
997,-1
998,1
999,-1
1000,-1
1001,-1
1002,-1
1003,-1
1004,1.0
1005,2.625
1006,-1
1007,-1
1008,-1
1009,-1
1010,0.33333333333333326
1011,-1
1012,-1
1013,-1
1014,0.0714285714285714
1015,0.33333333333333326
1016,-1
1017,-1
1018,-1
1019,-1
1020,-1
1021,0.16666666666666674
1022,-1
1023,0.16666666666666674
1024,-1
1025,-1
1026,-1
1027,-1
1028,-1
1029,-1
1030,-1
1031,-1
1032,2.583333333333333
1033,-1
1034,1
1035,-1
1036,-1
1037,-1
1038,0.5
1039,-1
1040,-1
1041,-1
1042,-1
1043,4.0
1044,1
1045,-1
1046,0.5
1047,-1
1048,1
1049,0.5
1050,-1
1051,-1
1052,0.5
1053,0.09090909090909083
1054,3.5
1055,-1
1056,-1
1057,1.0
1058,3.333333333333333
1059,1
1060,3.5
1061,-1
1062,-1
1063,-1
1064,-1
1065,-1
1066,0.33333333333333326
1067,3.125
1068,1.0
1069,0.16666666666666674
1070,-1
1071,-1
1072,0.25
1073,0.33333333333333326
1074,-1
1075,0.25
1076,0.5
1077,-1
1078,3.5
1079,0.10000000000000009
1080,-1
1081,-1
1082,-1
1083,-1
1084,-1
1085,-1
1086,3.166666666666667
1087,-1
1088,0.16666666666666674
1089,-1
1090,-1
1091,-1
1092,-1
1093,-1
1094,0.33333333333333326
1095,2.533333333333333
1096,-1
1097,0.5
1098,-1
1099,-1
1100,-1
1101,0.19999999999999996
1102,-1
1103,3.5
1104,-1
1105,-1
1106,-1
1107,0.5
1108,2.290909090909091
1109,-1
1110,3.0
1111,-1
1112,-1
1113,-1
1114,0.25
1115,-1
1116,-1
1117,-1
1118,2.6666666666666665
1119,0.5
1120,-1
1121,-1
1122,1.0
1123,-1
1124,-1
1125,0.19999999999999996
1126,-1
1127,-1
1128,0.1428571428571428
1129,-1
1130,0.5
1131,-1
1132,1.0
1133,-1
1134,-1
1135,-1
1136,-1
1137,-1
1138,4
1139,-1
1140,-1
1141,-1
1142,1
1143,-1
1144,-1
1145,0.19999999999999996
1146,-1
1147,-1
1148,-1
1149,-1
1150,1
1151,-1
1152,1.0
1153,-1
1154,1
1155,1.0
1156,-1
1157,-1
1158,1.0
1159,-1
1160,-1
1161,-1
1162,-1
1163,-1
1164,1.0
1165,-1
1166,-1
1167,1.0
1168,-1
1169,-1
1170,1
1171,-1
1172,-1
1173,1
1174,-1
1175,0.33333333333333326
1176,-1
1177,1
1178,-1
1179,3.25
1180,-1
1181,1.0
1182,-1
1183,0.16666666666666674
1184,4
1185,-1
1186,-1
1187,1.0
1188,1.0
1189,-1
1190,-1
1191,-1
1192,-1
1193,4
1194,3.5
1195,0.09090909090909083
1196,-1
1197,3.5
1198,1
1199,4.0
1200,-1
1201,-1
1202,0.5
1203,-1
1204,-1
1205,-1
1206,-1
1207,-1
1208,-1
1209,-1
1210,-1
1211,-1
1212,1.0
1213,-1
1214,-1
1215,3.25
1216,-1
1217,-1
1218,0.5
1219,-1
1220,-1
1221,-1
1222,1.0
1223,0.125
1224,1
1225,-1
1226,1
1227,-1
1228,-1
1229,3.5
1230,0.19999999999999996
1231,-1
1232,-1
1233,0.25
1234,-1
1235,-1
1236,-1
1237,0.33333333333333326
1238,0.19999999999999996
1239,-1
1240,0.25
1241,0.25
1242,-1
1243,4.0
1244,-1
1245,0.5
1246,-1
1247,0.25
1248,-1
1249,-1
1250,4
1251,1.0
1252,-1
1253,-1
1254,-1
1255,-1
1256,-1
1257,-1
1258,-1
1259,-1
1260,1
1261,1
1262,-1
1263,-1
1264,-1
1265,-1
1266,-1
1267,1
1268,-1
1269,-1
1270,-1
1271,-1
1272,-1
1273,-1
1274,1
1275,-1
1276,-1
1277,0.25
1278,0.10000000000000009
1279,-1
1280,-1
1281,2.833333333333333
1282,-1
1283,-1
1284,4.0
1285,-1
1286,-1
1287,4.0
1288,0.25
1289,-1
1290,0.10000000000000009
1291,-1
1292,-1
1293,0.33333333333333326
1294,-1
1295,-1
1296,-1
1297,-1
1298,3.25
1299,-1
1300,0.33333333333333326
1301,-1
1302,-1
1303,-1
1304,1.0
1305,-1
1306,-1
1307,-1
1308,1.0
1309,1
1310,3.5
1311,1
1312,1
1313,-1
1314,-1
1315,0.25
1316,0.16666666666666674
1317,3.083333333333333
1318,1
1319,3.166666666666667
1320,-1
1321,0.5
1322,-1
1323,1
1324,-1
1325,1
1326,-1
1327,1.0
1328,-1
1329,-1
1330,-1
1331,-1
1332,0.5
1333,-1
1334,3.25
1335,-1
1336,-1
1337,-1
1338,-1
1339,-1
1340,1.0
1341,0.125
1342,-1
1343,-1
1344,-1
1345,3.1
1346,-1
1347,1.0
1348,-1
1349,1
1350,3.5
1351,-1
1352,-1
1353,1.0
1354,3.333333333333333
1355,3.166666666666667
1356,-1
1357,4
