Episode,Reward
1571,-1
1572,0.16666666666666674
1573,-1
1574,-1
1575,0.16666666666666674
1576,0.19999999999999996
1577,-1
1578,0.25
1579,-1
1580,2.6666666666666665
1581,-1
1582,-1
1583,0.1428571428571428
1584,0.19999999999999996
1585,-1
1586,-1
1587,-1
1588,0.33333333333333326
1589,-1
1590,-1
1591,3.125
1592,-1
1593,-1
1594,2.75
1595,-1
1596,1
1597,0.125
1598,0.33333333333333326
1599,-1
1600,-1
1601,-1
1602,0.25
1603,0.5
1604,-1
1605,-1
1606,-1
1607,-1
1608,-1
1609,-1
1610,0.33333333333333326
1611,1.0
1612,-1
1613,0.19999999999999996
1614,-1
1615,1.0
1616,-1
1617,-1
1618,-1
1619,0.33333333333333326
1620,-1
1621,-1
1622,-1
1623,-1
1624,-1
1625,-1
1626,-1
1627,0.5
1628,-1
1629,-1
1630,-1
1631,1.0
1632,-1
1633,2.833333333333333
1634,-1
1635,0.1428571428571428
1636,-1
1637,0.5
1638,-1
1639,1.0
1640,4.0
1641,1.0
1642,-1
1643,-1
1644,2.392857142857143
1645,-1
1646,-1
1647,0.33333333333333326
1648,-1
1649,2.5
1650,-1
1651,0.33333333333333326
1652,-1
1653,1.0
1654,2.458333333333333
1655,-1
1656,0.09090909090909083
1657,-1
1658,2.392857142857143
1659,-1
1660,-1
1661,1
1662,-1
1663,1
1664,-1
1665,3.111111111111111
1666,-1
1667,-1
1668,0.125
1669,-1
1670,-1
1671,-1
1672,-1
1673,-1
1674,1
1675,0.5
1676,-1
1677,3.166666666666667
1678,-1
1679,-1
1680,-1
1681,1
1682,-1
1683,1
1684,0.19999999999999996
1685,0.19999999999999996
1686,-1
1687,-1
1688,-1
1689,0.5
1690,-1
1691,-1
1692,2.392857142857143
1693,1
1694,-1
1695,-1
1696,-1
1697,1.0
1698,-1
1699,3.166666666666667
1700,-1
1701,1
1702,2.642857142857143
1703,-1
1704,-1
1705,0.33333333333333326
1706,-1
1707,-1
1708,2.666666666666667
1709,3.25
1710,3.25
1711,-1
1712,-1
1713,-1
1714,1
1715,-1
1716,-1
1717,0.33333333333333326
1718,3.25
1719,-1
1720,-1
1721,-1
1722,-1
1723,-1
1724,2.75
1725,-1
1726,-1
1727,2.4166666666666665
1728,-1
1729,-1
1730,-1
1731,-1
1732,1
1733,0.125
1734,3.333333333333333
1735,3.25
1736,0.5
1737,-1
1738,-1
1739,-1
1740,-1
1741,1
1742,-1
1743,-1
1744,-1
1745,-1
1746,3.333333333333333
1747,-1
1748,-1
1749,-1
1750,-1
1751,3.142857142857143
1752,-1
1753,3.142857142857143
1754,1.0
1755,-1
1756,-1
1757,0.5
1758,-1
1759,0.25
1760,-1
1761,1
1762,1
1763,2.35
1764,1
1765,-1
1766,4.0
1767,1
1768,-1
1769,0.19999999999999996
1770,-1
1771,-1
1772,1.0
1773,-1
1774,0.5
1775,-1
1776,0.125
1777,-1
1778,-1
1779,-1
1780,-1
1781,-1
1782,-1
1783,3.2
1784,-1
1785,0.16666666666666674
1786,-1
1787,-1
1788,-1
1789,-1
1790,-1
1791,-1
1792,-1
1793,-1
1794,-1
1795,-1
1796,-1
1797,-1
1798,-1
1799,-1
1800,-1
1801,-1
1802,-1
1803,-1
1804,0.19999999999999996
1805,-1
1806,-1
1807,2.6666666666666665
1808,-1
1809,0.5
1810,-1
1811,-1
1812,2.4166666666666665
1813,2.3428571428571425
1814,-1
1815,-1
1816,0.33333333333333326
1817,0.25
1818,-1
1819,-1
1820,-1
1821,3.111111111111111
1822,-1
1823,0.25
1824,-1
1825,-1
1826,-1
1827,1
1828,2.5
1829,1
1830,-1
1831,-1
1832,3.125
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,0.16666666666666674
1839,-1
1840,1.0
1841,-1
1842,-1
1843,-1
1844,-1
1845,-1
1846,-1
1847,-1
1848,-1
1849,0.33333333333333326
1850,4
1851,-1
1852,1.0
1853,-1
1854,-1
1855,-1
1856,4.0
1857,-1
1858,-1
1859,-1
1860,3.125
1861,-1
1862,-1
1863,-1
1864,-1
1865,-1
1866,-1
1867,-1
1868,1
1869,-1
1870,-1
1871,-1
1872,1
1873,0.25
1874,3.142857142857143
1875,-1
1876,-1
1877,1
1878,-1
1879,-1
1880,-1
1881,2.2222222222222223
1882,0.19999999999999996
1883,0.125
1884,3.5
1885,0.5
1886,3.5
1887,0.33333333333333326
1888,-1
1889,-1
1890,3.142857142857143
1891,1
1892,0.25
1893,-1
1894,-1
1895,-1
1896,3.333333333333333
1897,-1
1898,1.0
1899,0.5
1900,3.25
1901,-1
1902,-1
1903,0.33333333333333326
1904,3.2
1905,0.5
1906,-1
1907,-1
1908,-1
1909,2.583333333333333
1910,-1
1911,-1
1912,1.0
1913,-1
1914,-1
1915,-1
1916,-1
1917,-1
1918,-1
1919,-1
1920,-1
1921,1.0
1922,-1
1923,-1
1924,-1
1925,-1
1926,2.833333333333333
1927,-1
1928,-1
1929,2.5
1930,-1
1931,-1
1932,-1
1933,4.0
1934,-1
1935,-1
1936,-1
1937,-1
1938,2.4761904761904763
1939,-1
1940,-1
1941,0.16666666666666674
1942,1
1943,-1
1944,2.642857142857143
1945,-1
1946,-1
1947,-1
1948,-1
1949,2.666666666666667
1950,-1
1951,-1
1952,-1
1953,-1
1954,0.5
1955,1
1956,0.16666666666666674
1957,-1
1958,-1
1959,2.5
1960,-1
1961,0.5
1962,2.7
1963,3.111111111111111
1964,-1
1965,-1
1966,-1
1967,-1
1968,-1
1969,1.0
1970,-1
1971,-1
1972,-1
1973,-1
1974,1
1975,0.5
1976,3.333333333333333
1977,-1
1978,0.19999999999999996
1979,2.4333333333333336
1980,0.1428571428571428
1981,-1
1982,3.333333333333333
1983,4.0
1984,-1
1985,-1
