episode,attacker_reward,defender_reward,epsilon,hack_probability,episode_length
437,2.4,-2.0,0.11242507996344034,0.0,12
438,-1.0,1.0,0.11186295456362313,0.0,2
439,0.16666666666666674,1.0,0.11130363979080501,0.0,9
440,-1.0,1.0,0.11074712159185099,0.0,2
441,0.25,1.0,0.11019338598389174,0.0,9
442,-1.0,1.0,0.10964241905397228,0.0,2
443,-1.0,1.0,0.10909420695870241,0.0,3
444,0.5,1.0,0.1085487359239089,0.0,4
445,-1.0,1.0,0.10800599224428936,0.0,10
446,1.0,1.0,0.10746596228306791,0.0,3
447,-1.0,1.0,0.10692863247165257,0.0,5
448,0.33333333333333326,1.0,0.1063939893092943,0.0,5
449,1.0,1.0,0.10586201936274783,0.0,11
450,-1.0,1.0,0.10533270926593409,0.0,4
451,-1.0,1.0,0.10480604571960442,0.0,1
452,3.333333333333333,-2.0,0.1042820154910064,0.0,6
453,3.333333333333333,-2.0,0.10376060541355137,0.0,5
454,-1.0,1.0,0.1032418023864836,0.0,3
455,2.666666666666667,-2.0,0.10272559337455119,0.0,10
456,-1.0,1.0,0.10221196540767843,0.0,4
457,-1.0,1.0,0.10170090558064004,0.0,1
458,2.375,-2.0,0.10119240105273684,0.0,14
459,-1.0,1.0,0.10068643904747315,0.0,1
460,-1.0,1.0,0.10018300685223579,0.0,2
461,0.5,1.0,0.0996820918179746,0.0,9
462,-1.0,1.0,0.09918368135888474,0.0,1
463,3.333333333333333,-2.0,0.09868776295209031,0.0,5
464,-1.0,1.0,0.09819432413732986,0.0,8
465,1.0,1.0,0.09770335251664321,0.0,2
466,1.0,1.0,0.09721483575406,0.0,3
467,-1.0,1.0,0.09672876157528969,0.0,5
468,0.33333333333333326,1.0,0.09624511776741324,0.0,5
469,1.0,1.0,0.09576389217857617,0.0,7
470,-1.0,1.0,0.09528507271768329,0.0,1
471,-1.0,1.0,0.09480864735409487,0.0,1
472,-1.0,1.0,0.0943346041173244,0.0,2
473,-1.0,1.0,0.09386293109673778,0.0,4
474,-1.0,1.0,0.09339361644125409,0.0,2
475,2.833333333333333,-2.0,0.09292664835904782,0.0,7
476,-1.0,1.0,0.09246201511725258,0.0,1
477,-1.0,1.0,0.09199970504166631,0.0,1
478,-1.0,1.0,0.09153970651645797,0.0,5
479,-1.0,1.0,0.09108200798387568,0.0,2
480,-1.0,1.0,0.0906265979439563,0.0,2
481,0.25,1.0,0.09017346495423652,0.0,6
482,-1.0,1.0,0.08972259762946533,0.0,4
483,-1.0,1.0,0.089273984641318,0.0,5
484,4.0,-2.0,0.0888276147181114,0.0,2
485,-1.0,1.0,0.08838347664452084,0.0,1
486,-1.0,1.0,0.08794155926129824,0.0,3
487,-1.0,1.0,0.08750185146499175,0.0,1
488,-1.0,1.0,0.08706434220766679,0.0,1
489,-1.0,1.0,0.08662902049662846,0.0,1
490,-1.0,1.0,0.08619587539414532,0.0,6
491,1.0,1.0,0.08576489601717459,0.0,12
492,1.0,1.0,0.08533607153708872,0.0,4
493,0.19999999999999996,1.0,0.08490939117940327,0.0,10
494,1.0,1.0,0.08448484422350626,0.0,5
495,-1.0,1.0,0.08406242000238873,0.0,1
496,1.0,1.0,0.08364210790237678,0.0,3
497,-1.0,1.0,0.0832238973628649,0.0,2
498,-1.0,1.0,0.08280777787605056,0.0,5
499,-1.0,1.0,0.08239373898667031,0.0,2
500,2.611111111111111,-2.0,0.08198177029173696,0.0,13
501,-1.0,1.0,0.08157186144027828,0.0,3
502,-1.0,1.0,0.0811640021330769,0.0,1
503,-1.0,1.0,0.08075818212241151,0.0,2
504,-1.0,1.0,0.08035439121179945,0.0,1
505,0.07692307692307687,1.0,0.07995261925574046,0.0,20
506,-1.0,1.0,0.07955285615946175,0.0,1
507,0.5,1.0,0.07915509187866444,0.0,6
508,-1.0,1.0,0.07875931641927113,0.0,1
509,-1.0,1.0,0.07836551983717477,0.0,1
510,2.7,-2.0,0.07797369223798889,0.0,9
511,-1.0,1.0,0.07758382377679894,0.0,2
512,-1.0,1.0,0.07719590465791494,0.0,1
513,0.5,1.0,0.07680992513462537,0.0,9
514,-1.0,1.0,0.07642587550895225,0.0,6
515,-1.0,1.0,0.07604374613140748,0.0,1
516,0.19999999999999996,1.0,0.07566352740075044,0.0,7
517,-1.0,1.0,0.07528520976374668,0.0,1
518,1.0,1.0,0.07490878371492794,0.0,4
519,-1.0,1.0,0.0745342397963533,0.0,1
520,-1.0,1.0,0.07416156859737154,0.0,7
521,1.0,1.0,0.07379076075438468,0.0,8
522,-1.0,1.0,0.07342180695061275,0.0,2
523,3.111111111111111,-2.0,0.07305469791585968,0.0,11
524,-1.0,1.0,0.07268942442628039,0.0,2
525,-1.0,1.0,0.07232597730414898,0.0,3
526,-1.0,1.0,0.07196434741762824,0.0,1
