episode,attacker_reward,defender_reward,epsilon,hack_probability
317,-1.0,1,0.20516038984972615,0
318,-1.0,1,0.2041345879004775,0
319,-1.0,1,0.2031139149609751,0
320,-1.0,1,0.20209834538617025,0
321,0.25,1,0.2010878536592394,0
322,-1.0,1,0.2000824143909432,0
323,-1.0,1,0.19908200231898848,0
324,-1.0,1,0.19808659230739353,0
325,3.25,-2,0.19709615934585656,0
326,1.0,1,0.19611067854912728,0
327,-1.0,1,0.19513012515638165,0
328,0.5,1,0.19415447453059972,0
329,-1.0,1,0.19318370215794672,0
330,-1.0,1,0.192217783647157,0
331,1.0,1,0.1912566947289212,0
332,-1.0,1,0.1903004112552766,0
333,-1.0,1,0.18934890919900021,0
334,2.6666666666666665,-2,0.18840216465300522,0
335,2.583333333333333,-2,0.18746015382974018,0
336,3.2,-2,0.1865228530605915,0
337,-1.0,1,0.18559023879528855,0
338,0.5,1,0.1846622876013121,0
339,-1.0,1,0.18373897616330553,0
340,-1.0,1,0.182820281282489,0
341,-1.0,1,0.18190617987607657,0
342,0.5,1,0.18099664897669618,0
343,-1.0,1,0.1800916657318127,0
344,-1.0,1,0.17919120740315364,0
345,0.1428571428571428,1,0.17829525136613786,0
346,-1.0,1,0.17740377510930716,0
347,1.0,1,0.17651675623376062,0
348,-1.0,1,0.1756341724525918,0
349,-1.0,1,0.17475600159032884,0
350,-1.0,1,0.17388222158237718,0
351,-1.0,1,0.1730128104744653,0
352,0.5,1,0.17214774642209296,0
353,-1.0,1,0.1712870076899825,0
354,-1.0,1,0.17043057265153258,0
355,-1.0,1,0.16957841978827493,0
356,-1.0,1,0.16873052768933355,0
357,-1.0,1,0.1678868750508869,0
358,2.7,-2,0.16704744067563246,0
359,3.25,-2,0.1662122034722543,0
360,3.5,-2,0.16538114245489302,0
361,-1.0,1,0.16455423674261854,0
362,4.0,-2,0.16373146555890544,0
363,-1.0,1,0.16291280823111093,0
364,-1.0,1,0.16209824418995536,0
365,-1.0,1,0.16128775296900558,0
366,2.75,-2,0.16048131420416054,0
367,-1.0,1,0.15967890763313974,0
368,-1.0,1,0.15888051309497406,0
369,4.0,-2,0.1580861105294992,0
